Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 61,     Conv, 960, 32, 32, 960, 32, 32, 1,  COL, 0, 0, 1226, 1226, 8, 1, 8,,,,,,,,, L2, DMA, 1224, 1224, 240, 293888, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 960, 1167488, 34, 24fcde, ,,,,,,,, L2, DMA, 10, 10, 11520, 115200, 0, 47c00, ,,,,,,,, 
 62,     Conv, 960, 32, 32, 320, 32, 32, 960, ROW_L, 0, 0, 64, 1056, 17, 1, 17,,,,,,,,, L2, DMA, 128, 128, 960, 123904, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 320, 389248, 34, 36cd5e, ,,,,,,,, L2, DMA, 1024, 961, 320, 327680, 0, 1e400, ,,,,,,,, 
 63,     Pool, 320, 32, 32, 320, 1, 1, 320,  COL, 0, 0, 1055, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 320, 389120, 0, 0, ,,,,,,,, MSMC, CPU, 7, 7, 320, 2432, 3, 24fcfd, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 66,     Conv, 320, 1, 1, 256, 1, 1, 320, ROW_L, 0, 0, 2, 2, 1, 1, 1,,,,,,,,, L2, DMA, 2, 2, 320, 640, 0, 0, ,,,,,,,, MSMC, CPU, 7, 7, 256, 1920, 3, 24fcfd, ,,,,,,,, L2, DMA, 448, 321, 256, 114688, 0, 280, ,,,,,,,, 
 67,   Resize, 256, 1, 1, 256, 4, 4, 256,  COL, 0, 0, 9, 11, 1, 1, 1,,,,,,,,, L2, DMA, 9, 9, 256, 2304, 0, 0, ,,,,,,,, MSMC, CPU, 50, 50, 256, 12928, 14, 26bd72, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 68,   Resize, 256, 4, 4, 256, 16, 16, 256,  COL, 0, 0, 36, 34, 1, 1, 1,,,,,,,,, L2, DMA, 50, 50, 256, 12800, 0, 0, ,,,,,,,, MSMC, CPU, 448, 362, 256, 114816, 38, 24fcda, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 69,   Resize, 256, 16, 16, 256, 32, 32, 256,  COL, 0, 0, 324, 310, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 256, 114688, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 256, 344192, 70, 26bd3a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 64,     Conv, 320, 32, 32, 256, 32, 32, 320, ROW_L, 0, 0, 448, 1056, 3, 1, 3,,,,,,,,, L2, DMA, 960, 960, 320, 307584, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 256, 311424, 34, 2bfdde, ,,,,,,,, L2, DMA, 448, 321, 256, 114688, 0, 4b180, ,,,,,,,, 
 70,   Concat, 512, 32, 32, 512, 32, 32, 512,  COL, 0, 0, 1055, 1056, 4, 1, 4,,,,,,,,, L2, DMA, 1216, 1216, 256, 311296, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 512, 622720, 34, 24fcde, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 71,     Conv, 512, 32, 32, 256, 32, 32, 512, ROW_L, 0, 0, 256, 1056, 5, 1, 5,,,,,,,,, L2, DMA, 576, 576, 512, 295680, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 256, 311424, 34, 24fcde, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48300, MSMC, DMA_ONCE, 576, 576, 256, 147456, 0, 795200, 
 72,   Resize, 256, 32, 32, 256, 128, 128, 256,  COL, 0, 0, 1123, 1090, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 256, 311296, 0, 0, ,,,,,,,, MSMC, CPU, 17216, 17162, 256, 4407424, 262, 29bd7a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 65,     Conv, 144, 128, 128, 48, 128, 128, 144, ROW_L, 0, 0, 1472, 16512, 12, 1, 12,,,,,,,,, L2, DMA, 3008, 3008, 144, 447872, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 48, 808064, 130, 6cfdfe, ,,,,,,,, L2, DMA, 192, 145, 48, 9216, 0, 6d580, ,,,,,,,, 
 73,   Concat, 304, 128, 128, 304, 128, 128, 304,  COL, 0, 0, 16511, 16512, 38, 1, 38,,,,,,,,, L2, DMA, 16832, 16832, 16, 269312, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 304, 5117056, 130, 7e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 74,     Conv, 304, 128, 128, 304, 128, 128, 1,  COL, 0, 0, 16771, 16771, 38, 1, 38,,,,,,,,, L2, DMA, 16770, 16770, 16, 268416, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 304, 5117056, 130, 7e, ,,,,,,,, L2, DMA, 10, 10, 3648, 36480, 0, 41880, ,,,,,,,, 
 75,     Conv, 304, 128, 128, 256, 128, 128, 304, ROW_L, 0, 0, 512, 16512, 33, 1, 33,,,,,,,,, L2, DMA, 1088, 1088, 304, 346624, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 256, 4309120, 130, 7e, ,,,,,,,, L2, DMA, 320, 305, 256, 81920, 0, 54a00, ,,,,,,,, 
 76,     Conv, 256, 128, 128, 256, 128, 128, 1,  COL, 0, 0, 16771, 16771, 32, 1, 32,,,,,,,,, L2, DMA, 16770, 16770, 16, 268416, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 256, 4309120, 130, 7e, ,,,,,,,, L2, DMA, 10, 10, 3072, 30720, 0, 41880, ,,,,,,,, 
 77,     Conv, 256, 128, 128, 256, 128, 128, 256, ROW_L, 0, 0, 640, 16512, 26, 1, 26,,,,,,,,, L2, DMA, 1344, 1344, 256, 359424, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 256, 4309120, 130, 7e, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 57c00, ,,,,,,,, 
 78,     Conv, 256, 128, 128, 32, 128, 128, 256, ROW_L, 0, 0, 768, 16512, 22, 1, 22,,,,,,,,, L2, DMA, 1600, 1600, 256, 424960, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 32, 538752, 130, 7e, ,,,,,,,, L2, DMA, 320, 257, 32, 10240, 0, 67c00, ,,,,,,,, 
 79,   Resize, 32, 128, 128, 32, 512, 512, 32,  COL, 258, 0, 8256, 16642, 64, 64, 64,,,,,,,,, L2, DMA, 17028, 17028, 1, 17152, 0, 0, MSMC, NA, 265226, 0, 1, 265226, 0, 83880, DDR, DMA, 265226, 265226, 32, 8488320, 1030, 2f61fa, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 80,   ArgMax, 32, 512, 512, 1, 512, 512, 32,  COL, 0, 0, 6682, 263168, 40, 1, 40,,,,,,,,, L2, DMA, 427648, 427648, 1, 427648, 0, 0, MSMC, NA, 262144, 0, 1, 262144, 0, 0, DDR, DMA, 262144, 262144, 1, 263168, 0, b0e700, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 81,     Data, 1, 512, 512, 0, 0, 0, 1, FRAME, 0, 0, 262144, 262144, 1, 1, 1,,,,,,,,, L2, DMA, 0, 262144, 1, 0, 0, 0, ,,,,,,,, DDR, DMA, 262144, 0, 0, 787456, 0, 2f6180, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
